model,mae,rmse
Persistence,0.0698517174214735,0.118024733729345
EWMA,0.0723805997972658,0.1167885484434248
HAR,0.0601165706697419,0.1025135391964626
Random Forest,0.0553862606169496,0.1012246846299013
XGBoost,0.050725925895865796,0.08828153651185527
