date,actual,predicted
2024-10-31,0.1587430886533921,0.17925203
2024-11-01,0.1585227190583396,0.1663882
2024-11-04,0.145372423759838,0.17206131
2024-11-05,0.1692723698260682,0.14659946
2024-11-06,0.0651635020843884,0.08381012
2024-11-07,0.0655626307950088,0.06552225
2024-11-08,0.0906010354716314,0.062627286
2024-11-11,0.1036429507431396,0.07029169
2024-11-12,0.1159340922566195,0.0706443
2024-11-13,0.1157222813327341,0.078093715
2024-11-14,0.1190432399376499,0.0871392
2024-11-15,0.0294575438927742,0.10211699
2024-11-18,0.0286918758795179,0.10045983
2024-11-19,0.0322626081718036,0.10627046
2024-11-20,0.0542959812469223,0.12047274
2024-11-21,0.0570377754378615,0.109814234
2024-11-22,0.0576056840754577,0.10015805
2024-11-25,0.0591553905676528,0.090970844
2024-11-26,0.0626876060161701,0.082137235
2024-11-27,0.0555918049959027,0.085532986
2024-11-29,0.0455494120582919,0.08555197
2024-12-02,0.0668270656081701,0.07896933
2024-12-03,0.0711238983571497,0.077875
2024-12-04,0.0801365987784841,0.07687551
2024-12-05,0.0880172793681447,0.08671342
2024-12-06,0.0852378336227688,0.08498813
2024-12-09,0.0837954984729541,0.090932846
2024-12-10,0.0869524289402672,0.08987793
2024-12-11,0.2137906485230783,0.07598901
2024-12-12,0.2192691186593676,0.083905876
2024-12-13,0.2419057403622988,0.0836846
2024-12-16,0.2460180863029755,0.084949024
2024-12-17,0.2682363081904065,0.09801468
2024-12-18,0.0805072226068142,0.23430747
2024-12-19,0.1369948764921178,0.18738444
2024-12-20,0.1580708380159517,0.1966373
2024-12-23,0.1456321582192258,0.1429192
2024-12-24,0.0813932873637173,0.10951344
2024-12-26,0.1522446402220053,0.0996041
2024-12-27,0.1460088617065798,0.122594
2024-12-30,0.1454654630260294,0.14170928
2024-12-31,0.1415615338688503,0.13736054
2025-01-02,0.1853520934269028,0.15243116
2025-01-03,0.1460687512429152,0.10151206
2025-01-06,0.1309741895037355,0.088288955
2025-01-07,0.1875292860213739,0.15610892
2025-01-08,0.1890008760714819,0.1362422
2025-01-10,0.1290548400405516,0.17098638
2025-01-13,0.1244356162930829,0.16761895
2025-01-14,0.1149764558462334,0.1621679
2025-01-15,0.0745613367800966,0.0971772
2025-01-16,0.0810066659773367,0.11094418
2025-01-17,0.1492957719688172,0.068255164
2025-01-21,0.147336899802348,0.0604041
2025-01-22,0.1426002909710598,0.066171914
2025-01-23,0.1423226118542187,0.06966698
2025-01-24,0.1447975994427797,0.072705045
2025-01-27,0.1107461681148347,0.10374517
2025-01-28,0.1014853919210491,0.09726719
2025-01-29,0.100587090159293,0.08136741
2025-01-30,0.0960003045684519,0.08010319
2025-01-31,0.1129928714664507,0.100498326
2025-02-03,0.1052263402246552,0.13518798
2025-02-04,0.0980235796324482,0.10815294
2025-02-05,0.0981759709733607,0.098670006
2025-02-06,0.1243303346558988,0.09623543
2025-02-07,0.0882272472666013,0.12639278
2025-02-10,0.0817348100303738,0.0888459
2025-02-11,0.0807638774624476,0.09563606
2025-02-12,0.0851335323659488,0.09990644
2025-02-13,0.1320407953461365,0.09309075
2025-02-14,0.1290282811498281,0.08537778
2025-02-18,0.1129314361835306,0.083325036
2025-02-19,0.1050990030280223,0.08462021
2025-02-20,0.1237721033773508,0.08731855
2025-02-21,0.1820371055088434,0.14544368
2025-02-24,0.2148341248336997,0.15419753
2025-02-25,0.2212382945297511,0.17952356
2025-02-26,0.2498848696952928,0.18519989
2025-02-27,0.255743805396316,0.1722236
2025-02-28,0.2138142546484605,0.17830262
2025-03-03,0.2520386463026107,0.18787125
2025-03-04,0.2499149587157462,0.18861693
2025-03-05,0.227211792707764,0.20084232
2025-03-06,0.2174917587206659,0.20658374
2025-03-07,0.2882201243909457,0.23934576
2025-03-10,0.2141091689880978,0.2960948
2025-03-11,0.2226043812224444,0.3186765
2025-03-12,0.2313406245359278,0.25882527
2025-03-13,0.1934267627539795,0.26743132
2025-03-14,0.1395495661558898,0.2308962
2025-03-17,0.18385139425516,0.22169235
2025-03-18,0.1429874239280243,0.2214791
2025-03-19,0.1737669205390169,0.21432796
2025-03-20,0.1734821304479738,0.19664869
2025-03-21,0.2302950708427918,0.19512595
2025-03-24,0.1741362617816634,0.15172748
2025-03-25,0.1753089301994685,0.15664262
2025-03-26,0.1780381246878868,0.17543852
2025-03-27,0.3931932521535462,0.16859896
2025-03-28,0.5312084068318154,0.18359163
2025-03-31,0.5082951522945355,0.18868986
2025-04-01,0.4697467979512544,0.18441413
2025-04-02,1.0119600220534095,0.1697413
2025-04-03,0.9966767223230444,0.31053853
2025-04-04,0.8671883025148277,0.8440114
2025-04-07,0.86031269793406,0.78201145
2025-04-08,0.8372685477470493,0.5843424
2025-04-09,0.4017048324372482,0.49637273
2025-04-10,0.2405866482773989,0.75804967
2025-04-11,0.2375191925418777,0.56180656
2025-04-14,0.3230120972479469,0.5125544
2025-04-15,0.3532312388395038,0.5296399
2025-04-16,0.3179561357617015,0.32572243
2025-04-17,0.3132187652048382,0.34442347
2025-04-21,0.1620356071870197,0.3187532
2025-04-22,0.1280856412292666,0.33944637
2025-04-23,0.1326376330264524,0.31576338
2025-04-24,0.0564266431530369,0.19821832
2025-04-25,0.0939861219609374,0.18926199
2025-04-28,0.1220363577398821,0.19896472
2025-04-29,0.1501203139243558,0.20393121
2025-04-30,0.1506088264721004,0.17705439
2025-05-01,0.1503787570115226,0.17719531
2025-05-02,0.1026679019938353,0.17632529
2025-05-05,0.2464394747453618,0.17068754
2025-05-06,0.2082599393424067,0.17449868
2025-05-07,0.2141496684534708,0.1808689
2025-05-08,0.2160260872495532,0.17723341
2025-05-09,0.1998546014010735,0.18082356
2025-05-12,0.0424794150974274,0.19403708
2025-05-13,0.0599320099720675,0.19724336
2025-05-14,0.1488926924438649,0.18350582
2025-05-15,0.1397085535217765,0.2018304
2025-05-16,0.1166730850219102,0.22088929
2025-05-19,0.2192266657825354,0.245716
2025-05-20,0.2213803549337929,0.17984384
2025-05-21,0.1756305595404814,0.205623
2025-05-22,0.1770705976953919,0.19912876
