date,actual,predicted
2024-10-31,0.1587430886533921,0.18379104293630752
2024-11-01,0.1585227190583396,0.1728439940314357
2024-11-04,0.145372423759838,0.1772886096924319
2024-11-05,0.1692723698260682,0.1633809642036853
2024-11-06,0.0651635020843884,0.09804391899720911
2024-11-07,0.0655626307950088,0.09379629851837916
2024-11-08,0.0906010354716314,0.09335814890991598
2024-11-11,0.1036429507431396,0.09324577657781016
2024-11-12,0.1159340922566195,0.09357508440769231
2024-11-13,0.1157222813327341,0.09034896883997284
2024-11-14,0.1190432399376499,0.09871675871847828
2024-11-15,0.0294575438927742,0.11932523487119906
2024-11-18,0.0286918758795179,0.1102683789804176
2024-11-19,0.0322626081718036,0.10844744311675074
2024-11-20,0.0542959812469223,0.11638480883652964
2024-11-21,0.0570377754378615,0.10955657141350507
2024-11-22,0.0576056840754577,0.09348654739962727
2024-11-25,0.0591553905676528,0.09246072090120167
2024-11-26,0.0626876060161701,0.08878909929655582
2024-11-27,0.0555918049959027,0.09006810230407451
2024-11-29,0.0455494120582919,0.08710173531611783
2024-12-02,0.0668270656081701,0.07928375366153594
2024-12-03,0.0711238983571497,0.07977464445293449
2024-12-04,0.0801365987784841,0.07994324506714821
2024-12-05,0.0880172793681447,0.08818844811225747
2024-12-06,0.0852378336227688,0.07674557277461057
2024-12-09,0.0837954984729541,0.09265024823913447
2024-12-10,0.0869524289402672,0.09646330203155819
2024-12-11,0.2137906485230783,0.08846225748238964
2024-12-12,0.2192691186593676,0.0919650848685536
2024-12-13,0.2419057403622988,0.09209985713281223
2024-12-16,0.2460180863029755,0.09474153924937018
2024-12-17,0.2682363081904065,0.10421370350894589
2024-12-18,0.0805072226068142,0.2184044661377545
2024-12-19,0.1369948764921178,0.19689366762534824
2024-12-20,0.1580708380159517,0.18276184862841405
2024-12-23,0.1456321582192258,0.1279103646470016
2024-12-24,0.0813932873637173,0.0947481863441901
2024-12-26,0.1522446402220053,0.09833581149861263
2024-12-27,0.1460088617065798,0.11878203087075777
2024-12-30,0.1454654630260294,0.16155469825366378
2024-12-31,0.1415615338688503,0.1581550937381482
2025-01-02,0.1853520934269028,0.17062191321648185
2025-01-03,0.1460687512429152,0.11477285600555234
2025-01-06,0.1309741895037355,0.1069502035501647
2025-01-07,0.1875292860213739,0.16663115597072373
2025-01-08,0.1890008760714819,0.15452439758204387
2025-01-10,0.1290548400405516,0.17980827824995552
2025-01-13,0.1244356162930829,0.1786254785319115
2025-01-14,0.1149764558462334,0.1832088592309453
