Date,Adj Close,Close,High,Low,Open,Volume,log_return,ret_5d,ret_10d,ret_20d,ret_60d,rv_5d,rv_10d,rv_20d,rv_60d,ma_5d,dist_ma_5d,ma_10d,dist_ma_10d,ma_20d,dist_ma_20d,ma_50d,dist_ma_50d,volume_change_1d,rsi_14,ewma_vol,daily_range,overnight_gap,target_rv_5d,vix,vix_change_1d,vix_rv_spread,vix_rv_ratio
2015-03-31,171.27493286132812,206.42999267578125,208.10000610351562,206.36000061035156,207.25999450683594,126768700,-0.008777944644853434,-0.011511335534181426,-0.007384449397832094,-0.022465332664831753,0.004856028750791312,0.16390569504482422,0.13650871255474764,0.1428222441378824,0.139913218177031,206.28999938964844,0.0006786237168403987,208.06400146484376,-0.007853395001338574,207.80700149536133,-0.006626383180890184,207.25880096435546,-0.003998905159722253,0.2761385713962551,54.477937438309944,0.13846054811127947,0.008429034321078107,-0.004765263794615782,0.06995335282186778,0.15289999961853026,0.052360934775902146,0.010077755480647876,1.070561525912719
2015-04-01,170.66934204101562,205.6999969482422,206.4199981689453,204.50999450683594,206.38999938964844,137303600,-0.0035425545791513123,-0.0002916325293586622,-0.02287686139063628,-0.021783367331293154,0.019538178562949714,0.12488012200109253,0.11693993107731938,0.14264624646018573,0.13485245040894195,206.2779998779297,-0.0028020580480203807,207.58800048828124,-0.009094955082173128,207.58050155639648,-0.009059158225626467,207.33160095214845,-0.00786953844186459,0.07983036628057699,46.44306760462694,0.13463568017696356,0.009285384980292275,-0.00019375653808738574,0.05506990233614698,0.15109999656677245,-0.011842263882984972,0.008453750106586722,1.05926374031122
2015-04-02,171.2832489013672,206.44000244140625,206.97999572753906,205.39999389648438,205.6199951171875,86900900,0.0035910432838057197,0.005683618563806267,-0.014713914255439381,-0.019285818106830468,0.032592827147798764,0.12507355546885623,0.11962417714541876,0.1434264633634423,0.13345145212874523,206.51199951171876,-0.000348633834754092,207.28200073242186,-0.0040620907171893825,207.37950134277344,-0.004530336389488701,207.39880096435547,-0.004622970424568688,-0.4574261434368969,51.592690127209636,0.13171043078612119,0.007653564291654853,-0.00038900045515309124,0.05764470997269208,0.14670000076293946,-0.029552156207520688,0.0032735373994971506,1.0228238033814026
2015-04-06,172.4365692138672,207.8300018310547,208.4499969482422,205.2100067138672,205.3699951171875,114368200,0.006710621534576819,0.010107184238903036,-0.012337579014526348,0.0015891069705769125,0.02691928421965759,0.1314183317110893,0.12338896477574529,0.1369395880500842,0.1317975964408866,206.92999877929688,0.004349311637109289,207.0240005493164,0.0038932745942481836,207.39600143432617,0.002092616992261307,207.43340087890624,0.0019119435465456743,0.2746546793267488,47.89207521147008,0.13083383291223602,0.01558961750387123,-0.005196618530436874,0.07131665175902459,0.14739999771118165,0.004760273877682206,0.010460409661097458,1.0763870390589438
2015-04-07,171.9803009033203,207.27999877929688,208.75999450683594,207.24000549316406,207.86000061035156,81236300,-0.002649916276626036,-0.004668750682248155,-0.013037000352764744,-0.00519682544159934,0.006679945974067137,0.09727351555406058,0.12355256811423833,0.13639084365779264,0.12699430993216168,206.73599853515626,0.002631376480125255,206.7520004272461,0.0025537762679911005,207.34200134277344,-0.0002990352320081393,207.4796008300781,-0.0009620321707901675,-0.342060876668281,48.0812435040416,0.1271688704210234,0.007333023073250285,0.00014433245530451786,0.06258538496650735,0.1477999973297119,0.0027100262199033945,0.011409153671919275,1.0836504369790767
2015-04-08,172.56105041503906,207.97999572753906,208.50999450683594,207.0800018310547,207.5500030517578,89351900,0.0033713703247297945,0.007480564287335102,-0.004030771246846352,0.014529508129323309,0.01809716694932145,0.06995335282186778,0.1229831238102383,0.12281462683588239,0.12601375210463173,207.0459991455078,0.004511058343971483,206.66799926757812,0.00634832903308975,207.49200134277345,0.0023518708268636087,207.53020080566407,0.0021673709182028628,0.09522031446071098,42.21102734119659,0.1241455039947792,0.006875626046528963,0.0013017588380671023,0.06444153745750493,0.1397999954223633,-0.055647193391672574,0.016985368586480906,1.1383008606065994
2015-04-09,173.32440185546875,208.89999389648438,209.17999267578125,207.19000244140625,207.77999877929688,85548900,0.004413738655682361,0.015436857522168668,0.015145224992810081,0.021287663862259637,0.03037531638930687,0.05506990233614698,0.09471892226750991,0.12291620092962947,0.12512448951061805,207.68599853515624,0.005845340417219461,206.98199920654298,0.009266480647080176,207.71200103759764,0.005719423302227459,207.65340057373047,0.006003240588931689,-0.04349436379102317,48.11081259752939,0.12164879130849124,0.00952604256829751,-0.0009620789220270094,0.06355361914882181,0.1309000015258789,-0.06577911248284371,0.007983800596249438,1.0649532001141186
2015-04-10,174.2702178955078,210.0399932861328,210.08999633789062,208.9600067138672,209.1999969482422,72722900,0.0054423174598343445,0.017288131698197325,0.022971750262003723,0.01409615893206706,0.03863428914173081,0.05764470997269208,0.09384311881124978,0.11641736126021701,0.12533230674745557,208.40599670410157,0.007840448969187872,207.45899810791016,0.012440989312404475,207.8590003967285,0.010492655527264024,207.85140045166017,0.010529603503834188,-0.1624318142157707,48.85161278101129,0.119714873211045,0.005379878404795404,0.0014350782578992408,0.09983162505696253,0.12579999923706053,-0.0397403463710446,0.009382637976843522,1.0805948346129524
2015-04-13,173.48202514648438,209.08999633789062,210.6300048828125,209.02999877929688,209.8699951171875,74436600,-0.004533193036131167,0.006044317127489382,0.016151501366392335,0.01571416950195389,0.040156612764934804,0.07131665175902459,0.09991293127203517,0.1152897620119811,0.12502319582038243,208.65799560546876,0.0020703770836498292,207.79399719238282,0.006236942178401459,208.02200012207032,0.005134054163471101,207.9934002685547,0.005272263773369922,0.023291428300348797,47.26725526817904,0.11759568321331895,0.007652236508388503,-0.000809688661511615,0.12238317134378524,0.139399995803833,0.1026541300231562,0.0241102337918519,1.2091272752332192
2015-04-14,173.8138885498047,209.49000549316406,209.7100067138672,208.10000610351562,208.85000610351562,75099900,0.001911267978839088,0.010605501382954411,0.005936750700706356,0.004353362275923135,0.05127068809314726,0.06258538496650735,0.08123730596059785,0.10561765621884547,0.1233382882520021,209.0999969482422,0.0018651771908844495,207.91799774169922,0.007560710321084255,208.06750030517577,0.0068367485835216105,208.1942004394531,0.006224020894798148,0.0088714708489546,52.11089392216004,0.11422088071397847,0.007685333754044409,-0.001148443601236837,0.1224721285003926,0.13670000076293945,-0.01955871891376825,0.031082344544093976,1.2942911787371014
